submit_id,user_name,code,problem,lang,verdict,contest_id
78603786,Cuber999,"['#include <bits/stdc++.h>\r\nusing namespace std;\r\n\r\nint main(){\r\n    int n;\r\n    cin >> n;\r\n    int a[n];\r\n    for(int i=0; i<n; i++)\r\n        cin >> a[i];\r\n    int m;\r\n    cin >> m;\r\n    int b[m];\r\n    for(int i=0; i<m; i++)\r\n        cin >> b[i];\r\n    sort(a, a+n);\r\n    sort(b, b+m);\r\n    cout << a[n-1] << "" "" << b[m-1];\r\n}\r\n']",A - Choose Two Numbers,GNU C++17,OK,/contest/1206
78606758,sk_rakib,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\ntypedef long long ll;\r\n#define sc1(a) scanf(""%lld"",&a)\r\n#define sc2(a,b) scanf(""%lld %lld"",&a,&b)\r\n#define yes printf(""YES"")\r\n#define no printf(""NO"")\r\n#define pf1(a) printf(""%lld"",a)\r\n#define pf2(a,b) printf(""%lld %lld"",a,b)\r\n#define case(a) printf(""Case %lld: "",a)\r\n#define  ses printf(""\\n"")\r\n#define mx 1000010\r\n#define mod 10000007\r\nll n, m, x, y, z;\r\nint main()\r\n{\r\n    ll zz = 0;\r\n    ll pos = 0, neg = 0;\r\n    ll ans = 0;\r\n\r\n    sc1(n);// n;\r\n    for(ll i = 1; i <= n; i++){\r\n        ll x;\r\n     sc1(x);\r\n        if(x >= 0) ans += abs(x - 1), pos++;\r\n        else ans += -1 - x, neg++;\r\n\r\n        if(x == 0) zz++;\r\n\r\n    }\r\n\r\n    if(neg % 2){\r\n        if(!zz) ans += 2;\r\n    }\r\n    cout << ans << endl;\r\n\r\n    return 0;\r\n}\r\n']",B - Make Product Equal One,GNU C++17,OK,/contest/1206
78608869,yashmittal19,"['#include <bits/stdc++.h>\r\nusing namespace std;\r\nint main() {\r\n    int n;\r\n    cin>>n;\r\n    int a[n];\r\n   for(int i=0;i<n;i++)\r\n   {\r\n       cin>>a[i];\r\n   }\r\n   int m;\r\n   cin>>m;\r\n   int b[m];\r\n   for(int i=0;i<m;i++)\r\n   {\r\n       cin>>b[i];\r\n   }\r\n   sort(a,a+n);\r\n   sort(b,b+m);\r\n   cout<<a[n-1]<<"" ""<<b[m-1]<<endl;\r\n}']",A - Choose Two Numbers,GNU C++11,OK,/contest/1206
78601471,anurag122898,"['\r\n  //Anurag Kumar\r\n    #include <bits/stdc++.h>\r\n  using namespace std;\r\n  \r\n    #define N 200005\r\n    #define endl ""\\n""\r\n    #define ll  long long\r\n    #define vi vector<int>\r\n    #define vll vector<ll>\r\n    #define vvi vector < vi >\r\n    #define pii pair<int,int>\r\n    #define pll pair<long long, long long>\r\n    #define inf 1000000000000000001;\r\n    #define all(c) c.begin(),c.end()\r\n    #define pb(n)  push_back(n)\r\n    #define mp(x,y) make_pair(x,y)\r\n    #define eb emplace_back\r\n    #define F first\r\n    #define S second\r\n    #define mxx 10000000000000000\r\n    #define pv(v) for(int iz=0;iz<v.size();iz++){cout<<v[iz]<<"" ""; } cout<<endl;\r\n    #define mod 1000000007\r\n// #include <ext/pb_ds/assoc_container.hpp>\r\n// #include <ext/pb_ds/tree_policy.hpp>\r\n\r\n// using namespace __gnu_pbds;\r\n// typedef tree<int, null_type, less<int>, rb_tree_tag, tree_order_statistics_node_update> ordered_set;\r\n    //gives the ith index value in set in O(logn). 0_based index is used.\r\n \r\n  int main()\r\n    {     \r\n      std::ios::sync_with_stdio(false);\r\n    cin.tie(0); cout.tie(0);\r\n    // cout<<""ready""<<endl;\r\n      int T=1;\r\n      // cin>>T;\r\n     while(T--)\r\n      { bool flag=true,cond=true;\r\n       ll n,i,j,x,y=0,ind,k,m,dif,mn=INT_MAX,p=0,mx=0,count=0,diff,y1;\r\n      ll c=0;\r\n      cin>>n;\r\n      if(n%2==0)\r\n      {\r\n        cout<<""NO""<<endl;\r\n        continue;\r\n      }\r\n      cout<<""YES""<<endl;\r\n      ll ans[2*n];\r\n      ans[0] = 1;\r\n      m = n;\r\n      ll curr  =2;\r\n      ind = m;\r\n      while(curr<(2*n+1))\r\n      {\r\n        // cout<<ind<<"" ""<<endl;;\r\n        ans[ind] = curr;\r\n        curr++;\r\n        ans[ind+1] = curr;\r\n        curr++;\r\n        ind++;\r\n        ind = ind+m;\r\n        ind%=(2*n);\r\n\r\n      }\r\n      for(i=0;i<2*n;i++)\r\n        cout<<ans[i]<<"" "";\r\n      cout<<endl;\r\n    } return 0;\r\n\r\n   }\r\n      \r\n\r\n    \r\n  // if(cond)\r\n  //       cout<<""YES""<<endl;\r\n  //     else\r\n  //       cout<<""NO""<<endl;\r\n \r\n   // for(i=0;i<n;i++)\r\n   // {\r\n   //      for(j=0;j<n;j++)\r\n   //      {\r\n   //        cout<<arr[i][j]<<"" "";\r\n   //      }\r\n   //      cout<<endl;\r\n   // }\r\n   //    cout<<endl;\r\n  \r\n \r\n']",C - Almost Equal,GNU C++17,OK,/contest/1206
78594171,rdsaurabh97,['import java.util.*;\r\npublic class ProductOne580B {\r\n\r\n\tpublic static void main(String[] args) {\r\n\t\tScanner s = new Scanner(System.in);\r\n\t\tint n = s.nextInt();\r\n\t\tint arr [] = new int[n];\r\n\t\tint neg = 0;\r\n\t\tint zero = 0;\r\n\t\tfor(int i =0;i<n;i++) {\r\n\t\t\tarr[i]=s.nextInt();\r\n\t\t\tif(arr[i]<0) {\r\n\t\t\t\tneg++;\r\n\t\t\t}\r\n\t\t\tif(arr[i]==0) zero++;\r\n\t\t\t\r\n\t\t}\r\n\t\tlong ans = 0;\r\n\t\t\r\n\t\tfor(int p:arr) {\r\n\t\t\tif(p==0) {\r\n\t\t\t\tans++;\r\n\t\t\t}else{\r\n\t\t\tans+=Math.abs(p)-1;\t\r\n\t\t\t}\r\n\t\t}\r\n\t\t\r\n\t\tif(neg%2!=0 && zero==0) {\r\n\t\t\tans+=2;\r\n\t\t}\r\n\t\tSystem.out.println(ans);\r\n\t}\r\n\r\n}\r\n'],B - Make Product Equal One,Java 8,OK,/contest/1206
78590421,kk3600,"['#include<iostream>\r\n#include<bits/stdc++.h>\r\nusing namespace std;\r\nint main()\r\n{\r\n    int n;\r\n    cin>>n;\r\n    int a[n];\r\n    for(int i=0;i<n;i++)\r\n        cin>>a[i];\r\n    int m;\r\n    cin>>m;\r\n    int b[m];\r\n    for(int i=0;i<m;i++)\r\n        cin>>b[i];\r\n    sort(a,a+n);\r\n    sort(b,b+m);\r\n    cout<<a[n-1]<<"" ""<<b[m-1];\r\n}\r\n\r\n']",A - Choose Two Numbers,GNU C++17,OK,/contest/1206
78589335,shubhamar,"['#include<stdio.h>\n#include<stdlib.h>\n#include<string.h>\n#include<limits.h>\n#include<math.h>\n\n#define MAX(a, b) (a>b?a:b)\n#define MIN(a, b) (a<b?a:b)\n#define MOD 1000000007\n\nint compare(const void* a, const void* b) {\n    return *(int*)a-*(int*)b;\n}\n\nvoid testCase() {\n    int n, i;\n    scanf(""%d"", &n);\n    int a[n], max=INT_MIN;\n    for(i=0;i<n;i++) {\n        scanf(""%d"", &a[i]);\n        if(a[i] > max)\n            max = a[i];\n    }\n    printf(""%d "", max);\n    max = INT_MIN;\n    int m;\n    scanf(""%d"", &m);\n    int b[m];\n    for(i=0;i<m;i++) {\n        scanf(""%d"", &a[i]);\n        if(a[i] > max)\n            max = a[i];\n    }\n    printf(""%d\\n"", max);\n}\n\nint main() {\n    int t=1;\n    // scanf(""%d"", &t);\n    while(t--) {\n        testCase();\n    }\n    return 0;\n}']",A - Choose Two Numbers,GNU C11,RUNTIME_ERROR,/contest/1206
78579275,EXtreme_Evil,"['#include<bits/stdc++.h>\r\n\r\n#define ll              long long int\r\n#define ull             unsigned long long int\r\n#define pii             pair < int, int>\r\n#define pll             pair < ll, ll>\r\n#define sc              scanf\r\n#define scin(x)         sc(""%d"",&(x))\r\n#define scln(x)         sc(""%lld"",&(x))\r\n#define pf              printf\r\n#define ms(a,b)         memset(a,b,sizeof(a))\r\n#define pb(a)           push_back(a)\r\n#define mp              make_pair\r\n#define db              double\r\n#define EPS             10E-10\r\n#define ff              first\r\n#define ss              second\r\n#define sqr(x)          (x)*(x)\r\n#define vi              vector< int >\r\n#define vl              vector< ll >\r\n#define vii             vector<vector< int > >\r\n#define vll             vector<vector< ll > >\r\n#define DBG             pf(""HI\\n"")\r\n#define MOD             1000000007\r\n#define CIN             ios_base::sync_with_stdio(0); cin.tie(0); cout.tie(0)\r\n#define RUN_CASE(t,T)   for(__typeof(t) t=1;t<=T;t++)\r\n#define CASE(t)         printf(""Case %d: "",t)\r\n#define CASEL(t)        printf(""Case %d:\\n"",t)\r\n#define intlimit        2147483648\r\n#define longlimit       9223372036854775808\r\n#define infinity        (1<<28)\r\n#define gcd(a, b)       __gcd(a,b)\r\n#define lcm(a, b)       ((a)*(b)/gcd(a,b))\r\n#define mx              1234567899\r\n#define PI              2*acos(0.0)\r\n#define all(v)          v.begin(),v.end()\r\n#define rep(i,a,b)      for(__typeof(i) i=a; i<=b; i++)\r\n#define rev(i,a,b)      for(__typeof(i) i=a; i>=b; i--)\r\n\r\nusing namespace std;\r\n\r\nint main()\r\n{\r\n    int n;\r\n    cin>>n;\r\n    ll x;\r\n    ll cnt=0,cnt1=0,cnt2=0,cnt3=0,sum=0;\r\n    for(ll i=0;i<n;i++)\r\n    {\r\n        cin>>x;\r\n        if(x==0){cnt2++;}\r\n        if(x==1)cnt++;\r\n        if(x==-1)cnt1++;\r\n        if(x>0 && x!=1){sum+=(x-1);cnt++;}\r\n        if(x<0 && x!=-1){sum+=(abs(x)-1);cnt1++;}\r\n    }\r\n    if(n%2)\r\n    {\r\n        if(cnt1%2==0 && cnt1>0)cout<<sum<<endl;\r\n        else\r\n        {\r\n            if(cnt%2==0 && cnt2==0)\r\n            {\r\n                cout<<sum+2<<endl;\r\n            }\r\n            else if(cnt2>0)cout<<sum+1+(cnt2-1)<<endl;\r\n        }\r\n    }\r\n    else\r\n    {\r\n        if(cnt1%2==0 && cnt1>0)cout<<sum<<endl;\r\n        else\r\n        {\r\n            if(cnt2>0)\r\n                cout<<sum+1+(cnt2-1)<<endl;\r\n            else cout<<sum+2<<endl;\r\n        }\r\n    }\r\n\r\n}\r\n']",B - Make Product Equal One,GNU C++14,WRONG_ANSWER,/contest/1206
78578452,shakil1113,"['/*\n  Bismillahir Rahmanir Raheem\n*/\n#include<bits/stdc++.h>\n#define sc(x)        scanf(""%lld"",&x)\n#define pcase(x)     printf(""Case %d: "",x++)\n#define pn           printf(""\\n"")\n#define fri(f)       for(int i=0;i<f;i++)\n#define frj(f)       for(int j=0;j<f;j++)\n#define reset(x,e)   memset(x,e,sizeof(x))\n#define all(x)       x.begin(),x.end()\n#define input        freopen(""input.txt"",""r"",stdin);\n#define output       freopen(""output.txt"",""w"",stdout)\n#define infi         INT_MAX\n#define max_value    3000000\n#define pii          pair<int,int>\n#define pch          pair<char,char>\n#define pll          pair<ll,ll>\n#define mgraph       map<int,vector<int> >\n#define mp           make_pair\n#define pb           push_back\n#define clr(x)       memset(x,0,sizeof(x))\n\nusing namespace std;\ntypedef long long int ll;\ntypedef unsigned long long int ull;\n\n\n //.................___Start from here___.................//\n//.................._____________________................//\n\n\n\n\n\n\n\nint main(){\n    // input;\n    // output;\n\n    int cs=1;\n    int cn=1;\n    //cin>>cs;\n    while(cs--){\n        //start form here//\n        ll n;\n        cin>>n;\n        ll arr[n];\n        ll neg=0,pos=0,zero=0;\n        ll minpos;\n        ll mini=infi;\n        ll minneg;\n        ll mn=-infi;\n        fri(n){\n        \tcin>>arr[i];\n        \tif(arr[i]>0) pos++;\n        \telse if(arr[i]<0) neg++;\n        \telse zero++;\n        \tif(arr[i]>=0){\n        \t\tif(mini>arr[i]){\n        \t\t\tminpos=i;\n        \t\t\tmini=arr[i];\n        \t\t}\n        \t}\n        \tif(arr[i]<0){\n        \t\tif(mn<arr[i]){\n        \t\t\tminneg=i;\n        \t\t\tmn=arr[i];\n        \t\t}\n        \t}\n\n        }\n\n\n\n        ll total=0;\n\n\n       \tif(neg & 1 == 1 && (!pos && !zero) && n>1){\n       \t\ttotal+=abs(arr[minneg])+1;\n       \t\tarr[minneg]=1;\n       \t} \n\n       \telse if(n==1 && neg){\n       \t\tcout<<abs(arr[0])+1<<endl;break;\n       \t}\n       \telse if(n==1 && pos){\n       \t\tcout<<arr[0]-1<<endl;\n       \t\tbreak;\n       \t}\n       \telse if(n>1){\n       \t\tif(neg & 1 == 1){\n       \t\t\ttotal+=arr[minpos]+1;\n       \t\t\tarr[minpos]=-1;\n       \t\t}\n       \t}\n       \tfri(n){\n       \t\t// cout<<arr[i]<<"" "";\n       \t\tif(arr[i]>1){\n       \t\t\ttotal+=arr[i]-1;\n       \t\t}\n       \t\telse if(arr[i]==0) total+=1;\n       \t\telse if(arr[i]<-1) {\n       \t\t\ttotal+=abs(arr[i]+1);\n       \t\t}\n       \t}\n\n       \tcout<<total<<endl;\n\n\n\n\n    }\n}\n\n']",B - Make Product Equal One,GNU C++11,OK,/contest/1206
78574909,shakil1113,"['/*\r\n  Bismillahir Rahmanir Raheem\r\n*/\r\n#include<bits/stdc++.h>\r\n#define sc(x)        scanf(""%lld"",&x)\r\n#define pcase(x)     printf(""Case %d: "",x++)\r\n#define pn           printf(""\\n"")\r\n#define fri(f)       for(int i=0;i<f;i++)\r\n#define frj(f)       for(int j=0;j<f;j++)\r\n#define reset(x,e)   memset(x,e,sizeof(x))\r\n#define all(x)       x.begin(),x.end()\r\n#define input        freopen(""input.txt"",""r"",stdin);\r\n#define output       freopen(""output.txt"",""w"",stdout)\r\n#define infi         INT_MAX\r\n#define max_value    3000000\r\n#define pii          pair<int,int>\r\n#define pch          pair<char,char>\r\n#define pll          pair<ll,ll>\r\n#define mgraph       map<int,vector<int> >\r\n#define mp           make_pair\r\n#define pb           push_back\r\n#define clr(x)       memset(x,0,sizeof(x))\r\n\r\nusing namespace std;\r\ntypedef long long int ll;\r\ntypedef unsigned long long int ull;\r\n\r\n\r\n //.................___Start from here___.................//\r\n//.................._____________________................//\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nint main(){\r\n    // input;\r\n    // output;\r\n\r\n    int cs=1;\r\n    int cn=1;\r\n    //cin>>cs;\r\n    while(cs--){\r\n        //start form here//\r\n        int n;\r\n        cin>>n;\r\n        int arr[n];\r\n        int neg=0,pos=0,zero=0;\r\n        int minpos;\r\n        int mini=infi;\r\n        fri(n){\r\n        \tcin>>arr[i];\r\n        \tif(arr[i]>0) pos++;\r\n        \telse if(arr[i]<0) neg++;\r\n        \telse zero++;\r\n        \tif(arr[i]>=0){\r\n        \t\tif(mini>arr[i]){\r\n        \t\t\tminpos=i;\r\n        \t\t\tmini=arr[i];\r\n        \t\t}\r\n        \t}\r\n\r\n        }\r\n        int total=0;\r\n        if(neg & 1 == 1){\r\n        \ttotal+=abs(arr[minpos]-(-1));\r\n        \tarr[minpos]=-1;\r\n        \tneg++;\r\n        }\r\n\r\n\r\n\r\n\r\n        fri(n){\r\n        \t//cout<<arr[i]<<"" "";\r\n\r\n        \tif(arr[i]>1){\r\n        \t\ttotal+=abs(arr[i]-1);\r\n        \t}\r\n        \telse if(arr[i]<-1){\r\n        \t\ttotal+=abs(arr[i]+1);\r\n        \t}\r\n        \telse if(arr[i]==0)total+=1;\r\n        }\r\n        cout<<total<<endl;\r\n        \r\n\r\n\r\n\r\n\r\n\r\n    }\r\n}\r\n\r\n']",B - Make Product Equal One,GNU C++11,RUNTIME_ERROR,/contest/1206
