submit_id,user_name,code,problem,lang,verdict,contest_id
78573156,Ebiarat,"['                    #include<bits/stdc++.h>\r\n                    using namespace std;\r\n\r\n                    #define FOR(i,a,b) for(int i = (a); i < (b); i++)\r\n                    #define rep(i,n) FOR(i,0,n)\r\n                    #define RFOR(i,b,a) for(int i = (b) - 1; i>= (a); i--)\r\n                    #define ITER(it, a) for(typeof(a.begin()) it = a.begin(); it != a.end(); it++)\r\n                    #define FILL(a, value) memset(a, value, sizeof(a)\r\n\r\n                    #define SZ(a) (int)a.size()\r\n                    #define ALL(a) a.begin(), a.end()\r\n                    #define PB push_back\r\n                    #define MP make_pair\r\n                    #define er erase\r\n                    #define in insert\r\n                    #define fs first\r\n                    #define sc second\r\n\r\n\r\n                    typedef  long long LL;\r\n                    typedef vector<int> VI;\r\n                    typedef vector<LL > VL;\r\n                    typedef vector<vector<int > > VVI;\r\n                    typedef vector<vector<LL>> VVL;\r\n                    typedef vector <vector<pair<int, int >> >VVPI;\r\n                    typedef vector<vector<pair<LL, LL >> >VVPL;\r\n                    typedef vector<pair<LL, LL >> PL;\r\n                    typedef vector<PL> VPL;\r\n                    typedef pair<int, int> PII;\r\n                    typedef vector<PII> VPI;\r\n\r\n                    const double PI = acos(-1.0);\r\n                    const int INF = 1e9;\r\n                    const LL LINF = (LL)1e19;\r\n\r\n                    const double EPS = 1e-7;\r\n                    const int MAX = 20 * 1000 + 47;\r\n                    const int MAS =  5 *1e5 + 10;\r\n                    const int MOD = 998244353;\r\n\r\n\r\n                    int main() {\r\n                        ios_base::sync_with_stdio(false);\r\n                        cin.tie(NULL);\r\n                        int n, l, r;\r\n                        cin >> n >> l >> r;\r\n                        LL ansmin = 0;\r\n                        rep(i, l) {\r\n                            ansmin += (1 << i);\r\n                        }\r\n                        ansmin += n - l;\r\n                        LL ansmax = 0;\r\n                        rep(i, r)\r\n                        {\r\n                            ansmax+=(1 << i);\r\n                        }\r\n                        ansmax+=(1 << (r - 1)) * ( n - r) ;\r\n                        cout << ansmin << "" "" << ansmax << endl ;\r\n                     }\r\n']",B - Mislove Has Lost an Array,GNU C++17,OK,/contest/1204
78571458,Mensa_id_2307,"['#include<bits/stdc++.h>\r\nusing namespace std;const int N=1e2+7,inf=0x3f3f3f3f,M=1e6+7;\r\nint d[N][N],n,m,i,j,k,pre,id,ans[M],fa,top;char s[N];\r\nint main(){\r\n\tfor(scanf(""%d"",&n),memset(d,0x3f,sizeof(d)),i=1;i<=n;++i)for(scanf(""%s"",s+1),j=1;j<=n;++j)if(i==j)d[i][j]=0;\r\n\telse if(s[j]==\'1\')d[i][j]=1;\r\n\tfor(k=1;k<=n;++k)for(i=1;i<=n;++i)for(j=1;j<=n;++j)d[i][j]=min(d[i][j],d[i][k]+d[k][j]);\r\n\tfor(scanf(""%d"",&m),i=1;i<=m;++i){\r\n\t\tscanf(""%d"",&j);\r\n\t\tif(i==1){\r\n\t\t\tans[++top]=j;pre=j;id=i;\r\n\t\t}else if(d[pre][j]!=i-id){\r\n\t\t\tans[++top]=fa;pre=fa;id=i-1;\r\n\t\t}fa=j;\r\n\t}if(m!=1)ans[++top]=j;\r\n\tprintf(""%d\\n"",top);for(i=1;i<=top;++i)printf(""%d "",ans[i]);puts("""");\r\n}']","C - Anna, Svyatoslav and Maps",GNU C++17,OK,/contest/1204
78517029,foxface_ap,"[""#include<bits/stdc++.h>\r\nusing namespace std;\r\n#define ll long long\r\n#define pb push_back\r\n#define speed ios_base::sync_with_stdio(0); cin.tie(0);\r\n#define FL(i,a,n) for(ll i=a;i<n;i++)\r\n#define even(x) (((x)%(2))==(0))\r\n#define odd(x) (((x)%(2))==(1))\r\n\r\nint main()\r\n{\r\n\tstring s;cin>>s;\r\n\t\r\n\tint x=s.length();\r\n\t\r\n\tint cnt=x/2;\r\n\tif(odd(x))\r\n\t{\r\n\t\tfor(int i=1;i<x;i++)\r\n\t\t{\r\n\t\t\tif(s[i]=='1')\r\n\t\t\t{\r\n\t\t\t\tcout<<cnt+1;\r\n\t\t\t\treturn 0;\r\n\t\t\t}\r\n\t\t}\r\n\t}\r\n\tcout<<cnt;\r\n\t\r\n}""]",A - BowWow and the Timetable,GNU C++14,OK,/contest/1204
78516228,deeepeshthakur,"['#include<bits/stdc++.h>\n#define F first\n#define S second\n#define pb push_back\n#define mp make_pair\n#define full(a) a.begin(),a.end()\n#define rfull(a) a.rbegin(),a.rend()\n\nusing namespace std;\nconst double pi=acos(-1.0);\nconst double pii=2*pi;\nconst double eps=1e-6;\nconst long long MOD=1e9+7;\n\nvoid solve(){\n    int n;\n    cin>>n;\n    vector<vector<int>> adj(n,vector<int>(n,0));\n    for(int i=0;i<n;i++){\n        string s;cin>>s;\n        for(int j=0;j<n;j++) adj[i][j]=(s[j]==\'1\'?1:100000);\n    }\n    int m;\n    cin>>m;\n    stack<int> st;\n    for(int i=0;i<m;i++){\n        int x;cin>>x;st.push(x-1);\n    }\n    vector<int> ans;\n    for(int k=0;k<n;k++)\n        for(int i=0;i<n;i++) \n            for(int j=0;j<n;j++) \n                if(i!=j && j!=k && i!=k && adj[i][k]+adj[k][i]<adj[i][j]) adj[i][j]=adj[i][k]+adj[k][i];\n    ans.pb(st.top());\n    st.pop();\n    while(st.size()>=2){\n        int tp=st.top();\n        st.pop();\n        if(st.top()==ans.back() || adj[st.top()][tp]+adj[tp][ans.back()]>adj[st.top()][ans.back()]) ans.pb(tp);\n    }\n    while(!st.empty()) {ans.pb(st.top());st.pop();}\n    cout<<ans.size()<<""\\n"";\n    for(int i=ans.size()-1;i>=0;i--) cout<<ans[i]+1<<"" "";\n    cout<<""\\n"";\n}\n\nint main(){\n    std::ios::sync_with_stdio(false);\n    std::cin.tie(NULL);\n    std::cout.tie(NULL);\n\n    solve();\n    return 0;\n}']","C - Anna, Svyatoslav and Maps",GNU C++11,WRONG_ANSWER,/contest/1204
78516496,rushiS007,"['#include <bits/stdc++.h>\n#include <string>\n#include <cmath>\n#include <sstream>\nusing namespace std;\n#define ll long long\n#define rep(a,b,c) for(ll a=b;a<c;a++)\n\nll binaryToDecimal(string n) \n{ \n    string num = n; \n    ll dec_value = 0; \n  \n    // Initializing base value to 1, i.e 2^0 \n    ll base = 1; \n  \n    ll len = num.length(); \n    for (ll i = len - 1; i >= 0; i--) { \n        if (num[i] == \'1\') \n            dec_value += base; \n        base = base * 2; \n    } \n  \n    return dec_value; \n} \n\nll lllog(double base, double x) {\n    return (ll)(log(x) / log(base));\n}\n\nint main(){\n    string s;\n    cin>>s;\n    ll fklag=0;\n    rep(i,1,s.length())if(s[i]==\'1\'){fklag=1;break;}\n    ll ans=0;\n\n    if(s!=""0""){ans=(s.length()-1)/2;\n    cout<<ans+1;}\n    else cout<<0;\n}']",A - BowWow and the Timetable,GNU C++14,WRONG_ANSWER,/contest/1204
78516658,deeepeshthakur,"['#include<bits/stdc++.h>\n#define F first\n#define S second\n#define pb push_back\n#define mp make_pair\n#define full(a) a.begin(),a.end()\n#define rfull(a) a.rbegin(),a.rend()\n\nusing namespace std;\nconst double pi=acos(-1.0);\nconst double pii=2*pi;\nconst double eps=1e-6;\nconst long long MOD=1e9+7;\n\nvoid solve(){\n    int n;\n    cin>>n;\n    vector<vector<int>> adj(n,vector<int>(n,0));\n    for(int i=0;i<n;i++){\n        string s;cin>>s;\n        for(int j=0;j<n;j++) adj[i][j]=(s[j]==\'1\'?1:100000);\n    }\n    int m;\n    cin>>m;\n    stack<int> st;\n    for(int i=0;i<m;i++){\n        int x;cin>>x;st.push(x-1);\n    }\n    vector<int> ans;\n    for(int k=0;k<n;k++)\n        for(int i=0;i<n;i++) \n            for(int j=0;j<n;j++) \n                if(i!=j && j!=k && i!=k && adj[i][k]+adj[k][j]<adj[i][j]) adj[i][j]=adj[i][k]+adj[k][j];\n    ans.pb(st.top());\n    st.pop();\n    while(st.size()>=2){\n        int tp=st.top();\n        st.pop();\n        if(st.top()==ans.back() || adj[st.top()][tp]+adj[tp][ans.back()]>adj[st.top()][ans.back()]) ans.pb(tp);\n    }\n    while(!st.empty()) {ans.pb(st.top());st.pop();}\n    cout<<ans.size()<<""\\n"";\n    for(int i=ans.size()-1;i>=0;i--) cout<<ans[i]+1<<"" "";\n    cout<<""\\n"";\n}\n\nint main(){\n    std::ios::sync_with_stdio(false);\n    std::cin.tie(NULL);\n    std::cout.tie(NULL);\n\n    solve();\n    return 0;\n}']","C - Anna, Svyatoslav and Maps",GNU C++11,OK,/contest/1204
78516816,rushiS007,"['#include <bits/stdc++.h>\n#include <string>\n#include <cmath>\n#include <sstream>\nusing namespace std;\n#define ll long long\n#define rep(a,b,c) for(ll a=b;a<c;a++)\n\nll binaryToDecimal(string n) \n{ \n    string num = n; \n    ll dec_value = 0; \n  \n    // Initializing base value to 1, i.e 2^0 \n    ll base = 1; \n  \n    ll len = num.length(); \n    for (ll i = len - 1; i >= 0; i--) { \n        if (num[i] == \'1\') \n            dec_value += base; \n        base = base * 2; \n    } \n  \n    return dec_value; \n} \n\nll lllog(double base, double x) {\n    return (ll)(log(x) / log(base));\n}\n\nint main(){\n    string s;\n    cin>>s;\n    ll fklag=0;\n    rep(i,1,s.length())if(s[i]==\'1\'){fklag=1;break;}\n    ll ans=0;\n    if(fklag==0 && (s.length()-1)%2==0 && s!=""1""){\n        cout<<(s.length()-1)/2;\n    }else\n    if(s!=""0""){ans=(s.length()-1)/2;\n    cout<<ans+1;}\n    else cout<<0;\n}']",A - BowWow and the Timetable,GNU C++14,WRONG_ANSWER,/contest/1204
78516817,foxface_ap,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\n#define ll long long\r\n#define pb push_back\r\n#define speed ios_base::sync_with_stdio(0); cin.tie(0);\r\n#define FL(i,a,n) for(ll i=a;i<n;i++)\r\n#define even(x) (((x)%(2))==(0))\r\n#define odd(x) (((x)%(2))==(1))\r\n\r\nint main()\r\n{\r\n\tstring s;cin>>s;\r\n\t\r\n\tint x=s.length();\r\n\t\r\n\tint cnt=x/2;\r\n\t\r\n\tcout<<cnt;\r\n\t\r\n}']",A - BowWow and the Timetable,GNU C++14,WRONG_ANSWER,/contest/1204
78516903,rushiS007,"['#include <bits/stdc++.h>\n#include <string>\n#include <cmath>\n#include <sstream>\nusing namespace std;\n#define ll long long\n#define rep(a,b,c) for(ll a=b;a<c;a++)\n\nll binaryToDecimal(string n) \n{ \n    string num = n; \n    ll dec_value = 0; \n  \n    // Initializing base value to 1, i.e 2^0 \n    ll base = 1; \n  \n    ll len = num.length(); \n    for (ll i = len - 1; i >= 0; i--) { \n        if (num[i] == \'1\') \n            dec_value += base; \n        base = base * 2; \n    } \n  \n    return dec_value; \n} \n\nll lllog(double base, double x) {\n    return (ll)(log(x) / log(base));\n}\n\nint main(){\n    string s;\n    cin>>s;\n    ll fklag=0;\n    rep(i,1,s.length())if(s[i]==\'1\'){fklag=1;break;}\n    ll ans=0;\n    if(fklag==0 && (s.length()-1)%2==0 ){\n        cout<<(s.length()-1)/2;\n    }else\n    if(s!=""0""){ans=(s.length()-1)/2;\n    cout<<ans+1;}\n    else cout<<0;\n}']",A - BowWow and the Timetable,GNU C++14,OK,/contest/1204
78517290,leading1star,"[""#include <bits/stdc++.h>\r\nusing namespace std;\r\nint main()\r\n{string s;cin>>s;int o=0;\r\nfor(int i=0;i<s.length();i++)\r\n{\r\n\tif(s.at(i)=='1')o++;\r\n}\r\nif(o==1)cout<<(s.length())/2;\r\nelse if(o>1)cout<<((s.length())/2)+1;\t\r\n\t\r\nelse cout<<0;\t\r\n\treturn 0;\r\n}\r\n""]",A - BowWow and the Timetable,GNU C++14,WRONG_ANSWER,/contest/1204
78517438,leading1star,"[""#include <bits/stdc++.h>\r\nusing namespace std;\r\nint main()\r\n{string s;cin>>s;int o=0;\r\nfor(int i=0;i<s.length();i++)\r\n{\r\n\tif(s.at(i)=='1')o++;\r\n}\r\n\r\nif(o==1)cout<<(s.length())/2;\r\nelse if(o>1 && s.length()%2!=0)cout<<((s.length())/2)+1;\t\r\n\telse if(o>1)cout<<s.length()/2;\r\nelse cout<<0;\t\r\n\treturn 0;\r\n}\r\n""]",A - BowWow and the Timetable,GNU C++14,OK,/contest/1204
78519428,sunnyguan,"[""#include <bits/stdc++.h>\r\nusing namespace std;\r\ntypedef long long ll;\r\n#define rep(i,b,n) for(int i=b;i<n;++i)\r\n#define per(i,n,b) for(int i=n;i>=b;--i)\r\n\r\nint main(){\r\n    string s;\r\n    cin >> s;\r\n    int count = (s.length() - 1) / 2;\r\n    rep(i, 1, s.length()){\r\n        if(s[i] == '1'){\r\n            count++;\r\n            break;\r\n        }\r\n    }\r\n    cout << count;\r\n    return 0;\r\n}\r\n""]",A - BowWow and the Timetable,GNU C++17,WRONG_ANSWER,/contest/1204
78519637,sunnyguan,"[""#include <bits/stdc++.h>\r\nusing namespace std;\r\ntypedef long long ll;\r\n#define rep(i,b,n) for(int i=b;i<n;++i)\r\n#define per(i,n,b) for(int i=n;i>=b;--i)\r\n\r\nint main(){\r\n    string s;\r\n    cin >> s;\r\n    int count = 1 + ceil((s.length() - 1) / 2.0);\r\n    bool g = true;\r\n    rep(i, 1, s.length()){\r\n        if(s[i] == '1'){\r\n            g = false;\r\n            break;\r\n        }\r\n    }\r\n    count -= g;\r\n    cout << count;\r\n    return 0;\r\n}\r\n""]",A - BowWow and the Timetable,GNU C++17,WRONG_ANSWER,/contest/1204
78519801,sunnyguan,"['#include <bits/stdc++.h>\r\nusing namespace std;\r\ntypedef long long ll;\r\n#define rep(i,b,n) for(int i=b;i<n;++i)\r\n#define per(i,n,b) for(int i=n;i>=b;--i)\r\nbool found(string t, char a){\r\n    return t.find(a) == string::npos;\r\n}\r\nint main(){\r\n    string s;\r\n    cin >> s;\r\n    if(s == ""1"" || s == ""0""){\r\n        cout << 0;\r\n    } else {\r\n        int count = 1 + (s.length() - 1) / 2;\r\n        if((s.length() - 1) % 2 == 0 && found(s.substr(1), \'1\')){\r\n            count--;\r\n        }\r\n        cout << count;\r\n    }\r\n    return 0;\r\n}\r\n']",A - BowWow and the Timetable,GNU C++17,OK,/contest/1204
